Date,Time,AM_PM,Car_ID,Employee_Name,Location
01/06/2014,08:15,PM,14.0,Dedos Lidelse,
01/08/2014,07:45,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/08/2014,09:15,PM,14.0,Dedos Lidelse,
01/13/2014,07:00,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/13/2014,09:00,PM,14.0,Dedos Lidelse,
01/14/2014,08:30,PM,14.0,Dedos Lidelse,
01/13/2014,07:15,AM,14.0,Dedos Lidelse,Bean There Done That
01/13/2014,07:30,AM,14.0,Dedos Lidelse,Bean There Done That
01/13/2014,07:45,AM,14.0,Dedos Lidelse,Bean There Done That
01/14/2014,07:45,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/17/2014,07:30,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/17/2014,07:45,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/06/2014,07:15,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/06/2014,07:30,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/06/2014,07:45,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/06/2014,08:00,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/07/2014,07:00,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/07/2014,07:15,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/07/2014,07:30,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/08/2014,07:15,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/08/2014,07:30,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/08/2014,07:45,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/09/2014,07:15,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/09/2014,07:30,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/09/2014,07:45,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/10/2014,07:00,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/10/2014,07:15,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/10/2014,07:30,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/10/2014,05:45,PM,14.0,Dedos Lidelse,
01/10/2014,06:00,PM,14.0,Dedos Lidelse,
01/10/2014,06:15,PM,14.0,Dedos Lidelse,
01/10/2014,06:30,PM,14.0,Dedos Lidelse,
01/10/2014,06:45,PM,14.0,Dedos Lidelse,
01/12/2014,11:30,AM,14.0,Dedos Lidelse,
01/12/2014,11:45,AM,14.0,Dedos Lidelse,
01/12/2014,12:00,PM,14.0,Dedos Lidelse,
01/12/2014,12:15,PM,14.0,Dedos Lidelse,
01/15/2014,05:45,PM,14.0,Dedos Lidelse,
01/15/2014,06:00,PM,14.0,Dedos Lidelse,
01/15/2014,06:15,PM,14.0,Dedos Lidelse,
01/15/2014,06:30,PM,14.0,Dedos Lidelse,
01/15/2014,06:45,PM,14.0,Dedos Lidelse,
01/16/2014,07:15,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/16/2014,07:30,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/16/2014,07:45,AM,14.0,Dedos Lidelse,Hallowed Grounds
01/16/2014,07:00,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/16/2014,07:15,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/16/2014,07:30,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/16/2014,07:45,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/18/2014,12:30,PM,14.0,Dedos Lidelse,Brew've Been Served
01/18/2014,12:45,PM,14.0,Dedos Lidelse,Brew've Been Served
01/18/2014,01:00,PM,14.0,Dedos Lidelse,Brew've Been Served
01/18/2014,01:15,PM,14.0,Dedos Lidelse,Brew've Been Served
01/18/2014,01:30,PM,14.0,Dedos Lidelse,Brew've Been Served
01/06/2014,12:15,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/06/2014,12:30,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/06/2014,12:45,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/06/2014,01:00,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/06/2014,01:15,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/06/2014,01:30,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/06/2014,01:45,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/06/2014,05:30,PM,14.0,Dedos Lidelse,
01/06/2014,05:45,PM,14.0,Dedos Lidelse,
01/06/2014,06:00,PM,14.0,Dedos Lidelse,
01/06/2014,06:15,PM,14.0,Dedos Lidelse,
01/06/2014,06:30,PM,14.0,Dedos Lidelse,
01/06/2014,06:45,PM,14.0,Dedos Lidelse,
01/06/2014,07:00,PM,14.0,Dedos Lidelse,
01/06/2014,07:00,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/06/2014,07:15,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/06/2014,07:30,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/06/2014,07:45,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/06/2014,08:00,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/07/2014,12:15,PM,14.0,Dedos Lidelse,General Grocer
01/07/2014,12:30,PM,14.0,Dedos Lidelse,General Grocer
01/07/2014,12:45,PM,14.0,Dedos Lidelse,General Grocer
01/07/2014,01:00,PM,14.0,Dedos Lidelse,General Grocer
01/07/2014,01:15,PM,14.0,Dedos Lidelse,General Grocer
01/07/2014,01:30,PM,14.0,Dedos Lidelse,General Grocer
01/07/2014,01:45,PM,14.0,Dedos Lidelse,General Grocer
01/07/2014,05:45,PM,14.0,Dedos Lidelse,
01/07/2014,06:00,PM,14.0,Dedos Lidelse,
01/07/2014,06:15,PM,14.0,Dedos Lidelse,
01/07/2014,06:30,PM,14.0,Dedos Lidelse,
01/07/2014,06:45,PM,14.0,Dedos Lidelse,
01/07/2014,06:45,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/07/2014,07:00,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/07/2014,07:15,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/07/2014,07:30,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/07/2014,07:45,PM,14.0,Dedos Lidelse,Katerinas Cafe
01/07/2014,08:00,PM,14.0,Dedos Lidelse,Katerinas Cafe
