id,long1,long2,lat1,lat2,long_center,lat_center,Timestamp1,Timestamp2,time_threshold,location,cc,lc,emp_name
6,24.85801288,24.85799138,36.05970899,36.05980651,24.85800213000001,36.05975775,01/07/2014 12:01:15,01/07/2014 12:03:01,60,General Grocer,[],[],Bergen Linnea
6,24.89496677,24.89479810000001,36.05939442,36.05944521,24.894882435,36.059419815,01/15/2014 21:08:58,01/15/2014 21:10:01,60,,[],[],Bergen Linnea
6,24.87956895,24.87956663,36.04803303,36.04802238,24.87956779,36.048027705,01/09/2014 13:12:22,01/09/2014 13:18:58,300,,[],[],Bergen Linnea
6,24.88980603,24.88983264,36.05465928,36.0546407,24.889819335,36.05464999,01/13/2014 07:53:42,01/13/2014 08:03:01,300,Coffee Cameleon,"[['1/13/2014 7:55', '2418', '17.49'], ['1/13/2014 8:02', '7253', '4.88']]","[['1/13/2014', 'L9018', '17.49'], ['1/13/2014', 'L1682', '4.88'], ['1/13/2014', 'L9637', '17.76'], ['1/13/2014', 'L9362', '19.93']]",Bergen Linnea
6,24.88980736,24.88982211,36.05468228,36.05467784,24.889814735,36.05468006,01/15/2014 07:32:42,01/15/2014 08:02:01,300,Coffee Cameleon,"[['1/15/2014 7:45', '2142', '19.93'], ['1/15/2014 7:51', '3547', '14.47'], ['1/15/2014 7:56', '7253', '5.49']]","[['1/15/2014', 'L9018', '16.31'], ['1/15/2014', 'L1682', '5.49'], ['1/15/2014', 'L9637', '19.93'], ['1/15/2014', 'L9362', '14.47']]",Bergen Linnea
6,24.88976575,24.88980313,36.05464237,36.05468826,24.88978444,36.054665315,01/17/2014 07:33:42,01/17/2014 07:53:01,300,Coffee Cameleon,"[['1/17/2014 7:38', '3547', '10.27'], ['1/17/2014 7:51', '7253', '6.81'], ['1/17/2014 7:52', '6816', '9.16']]","[['1/17/2014', 'L9018', '7.49'], ['1/17/2014', 'L1682', '6.81'], ['1/17/2014', 'L8148', '9.16'], ['1/17/2014', 'L9637', '14.57'], ['1/17/2014', 'L9362', '10.27']]",Bergen Linnea
6,24.851026,24.85097239,36.06337955,36.063444200000006,24.850999195,36.063411875,01/18/2014 12:29:02,01/18/2014 12:35:01,300,Roberts and Sons,[],"[['1/18/2014', 'L1682', '62.47'], ['1/18/2014', 'L5947', '239.65'], ['1/18/2014', 'L5553', '266.69']]",Bergen Linnea
6,24.88982134,24.88980637,36.05468599,36.05462957,24.889813855,36.05465778,01/06/2014 07:20:42,01/06/2014 07:51:01,1800,Coffee Cameleon,"[['1/6/2014 7:42', '7253', '28.73'], ['1/6/2014 7:49', '5921', '8.39']]","[['1/6/2014', 'L1682', '8.73'], ['1/6/2014', 'L9637', '11.86'], ['1/6/2014', 'L3295', '8.39']]",Bergen Linnea
6,24.88977847,24.88981152,36.05467281,36.05467541,24.889794995,36.05467411,01/07/2014 07:19:42,01/07/2014 07:57:01,1800,Coffee Cameleon,"[['1/7/2014 7:46', '5921', '9.1'], ['1/7/2014 7:49', '7253', '27.66']]","[['1/7/2014', 'L9018', '12.44'], ['1/7/2014', 'L1682', '7.66'], ['1/7/2014', 'L9637', '11.55'], ['1/7/2014', 'L3295', '9.1']]",Bergen Linnea
6,24.89993961,24.89990315,36.05443681,36.05452016,24.89992138,36.054478485,01/07/2014 19:22:02,01/07/2014 20:13:01,1800,Katerinas Cafe,"[['1/7/2014 20:09', '7253', '19.49'], ['1/7/2014 20:11', '2142', '10.07'], ['1/7/2014 20:12', '1874', '55.63'], ['1/7/2014 20:13', '7889', '94.75'], ['1/7/2014 20:13', '8202', '65.02']]","[['1/7/2014', 'L2343', '37.44'], ['1/7/2014', 'L6110', '31.6'], ['1/7/2014', 'L2343', '25.02'], ['1/7/2014', 'L6267', '25.54'], ['1/7/2014', 'L1682', '19.49'], ['1/7/2014', 'L6119', '22.27'], ['1/7/2014', 'L6119', '14.75'], ['1/7/2014', 'L5553', '17.26'], ['1/7/2014', 'L2490', '31.41'], ['1/7/2014', 'L2169', '10.9'], ['1/7/2014', 'L5756', '19.07'], ['1/7/2014', 'L9637', '10.07'], ['1/7/2014', 'L8012', '18.35'], ['1/7/2014', 'L7814', '32.83'], ['1/7/2014', 'L3259', '33.29'], ['1/7/2014', 'L3295', '19.53']]",Bergen Linnea
